LECROYWRHRO66Zi,58279,Histogram
Segments,1,SegmentSize,993
Segment,TrigTime,TimeSinceSegment1
#1,11-Feb-2016 20:10:54,0                 
Time,Ampl
-9.3e-008,0
-9.2e-008,0
-9.1e-008,0
-9e-008,0
-8.9e-008,0
-8.8e-008,0
-8.7e-008,0
-8.6e-008,0
-8.5e-008,0
-8.4e-008,0
-8.3e-008,0
-8.2e-008,0
-8.1e-008,0
-8e-008,0
-7.9e-008,0
-7.8e-008,0
-7.7e-008,0
-7.6e-008,0
-7.5e-008,0
-7.4e-008,0
-7.3e-008,0
-7.2e-008,0
-7.1e-008,0
-7e-008,0
-6.9e-008,0
-6.8e-008,0
-6.7e-008,0
-6.6e-008,0
-6.5e-008,0
-6.4e-008,0
-6.3e-008,0
-6.2e-008,1
-6.1e-008,0
-6e-008,0
-5.9e-008,0
-5.8e-008,0
-5.7e-008,0
-5.6e-008,0
-5.5e-008,2
-5.4e-008,1
-5.3e-008,0
-5.2e-008,0
-5.1e-008,0
-5e-008,0
-4.9e-008,0
-4.8e-008,1
-4.7e-008,1
-4.6e-008,1
-4.5e-008,0
-4.4e-008,0
-4.3e-008,0
-4.2e-008,1
-4.1e-008,0
-4e-008,0
-3.9e-008,0
-3.8e-008,0
-3.7e-008,0
-3.6e-008,0
-3.5e-008,0
-3.4e-008,2
-3.3e-008,0
-3.2e-008,1
-3.1e-008,1
-3e-008,0
-2.9e-008,1
-2.8e-008,2
-2.7e-008,1
-2.6e-008,1
-2.5e-008,0
-2.4e-008,2
-2.3e-008,2
-2.2e-008,2
-2.1e-008,2
-2e-008,2
-1.9e-008,4
-1.8e-008,2
-1.7e-008,3
-1.6e-008,6
-1.5e-008,2
-1.4e-008,3
-1.3e-008,5
-1.2e-008,2
-1.1e-008,5
-1e-008,10
-9e-009,9
-8e-009,10
-7e-009,10
-6e-009,11
-5e-009,13
-4e-009,16
-3e-009,15
-2e-009,8
-1e-009,13
-1.29e-022,15
1e-009,16
2e-009,21
3e-009,14
4e-009,11
5e-009,9
6e-009,20
7e-009,11
8e-009,7
9e-009,16
1e-008,19
1.1e-008,19
1.2e-008,19
1.3e-008,20
1.4e-008,13
1.5e-008,22
1.6e-008,12
1.7e-008,19
1.8e-008,20
1.9e-008,19
2e-008,20
2.1e-008,18
2.2e-008,21
2.3e-008,15
2.4e-008,15
2.5e-008,15
2.6e-008,18
2.7e-008,13
2.8e-008,16
2.9e-008,20
3e-008,19
3.1e-008,26
3.2e-008,12
3.3e-008,22
3.4e-008,10
3.5e-008,18
3.6e-008,15
3.7e-008,20
3.8e-008,19
3.9e-008,18
4e-008,19
4.1e-008,24
4.2e-008,12
4.3e-008,17
4.4e-008,15
4.5e-008,22
4.6e-008,21
4.7e-008,14
4.8e-008,12
4.9e-008,20
5e-008,20
5.1e-008,24
5.2e-008,23
5.3e-008,20
5.4e-008,15
5.5e-008,23
5.6e-008,17
5.7e-008,24
5.8e-008,18
5.9e-008,23
6e-008,20
6.1e-008,27
6.2e-008,28
6.3e-008,27
6.4e-008,34
6.5e-008,25
6.6e-008,28
6.7e-008,23
6.8e-008,20
6.9e-008,25
7e-008,29
7.1e-008,26
7.2e-008,17
7.3e-008,25
7.4e-008,30
7.5e-008,30
7.6e-008,31
7.7e-008,32
7.8e-008,29
7.9e-008,34
8e-008,37
8.1e-008,36
8.2e-008,45
8.3e-008,27
8.4e-008,48
8.5e-008,36
8.6e-008,43
8.7e-008,42
8.8e-008,50
8.9e-008,36
9e-008,45
9.1e-008,41
9.2e-008,49
9.3e-008,49
9.4e-008,42
9.5e-008,37
9.6e-008,54
9.7e-008,34
9.8e-008,60
9.9e-008,53
1e-007,50
1.01e-007,45
1.02e-007,50
1.03e-007,48
1.04e-007,45
1.05e-007,66
1.06e-007,57
1.07e-007,59
1.08e-007,42
1.09e-007,53
1.1e-007,65
1.11e-007,55
1.12e-007,48
1.13e-007,63
1.14e-007,67
1.15e-007,59
1.16e-007,72
1.17e-007,77
1.18e-007,68
1.19e-007,73
1.2e-007,65
1.21e-007,72
1.22e-007,71
1.23e-007,73
1.24e-007,79
1.25e-007,66
1.26e-007,83
1.27e-007,78
1.28e-007,102
1.29e-007,84
1.3e-007,89
1.31e-007,80
1.32e-007,95
1.33e-007,81
1.34e-007,91
1.35e-007,89
1.36e-007,81
1.37e-007,115
1.38e-007,79
1.39e-007,109
1.4e-007,110
1.41e-007,122
1.42e-007,100
1.43e-007,106
1.44e-007,120
1.45e-007,121
1.46e-007,108
1.47e-007,110
1.48e-007,119
1.49e-007,127
1.5e-007,118
1.51e-007,122
1.52e-007,110
1.53e-007,112
1.54e-007,117
1.55e-007,128
1.56e-007,129
1.57e-007,123
1.58e-007,112
1.59e-007,130
1.6e-007,143
1.61e-007,153
1.62e-007,149
1.63e-007,117
1.64e-007,133
1.65e-007,134
1.66e-007,118
1.67e-007,132
1.68e-007,144
1.69e-007,139
1.7e-007,138
1.71e-007,136
1.72e-007,130
1.73e-007,144
1.74e-007,128
1.75e-007,128
1.76e-007,129
